Author	Book Title	ISBN	Year Level
Rippin, Sally; Masciullo, Lucia (ill.)	Our Australian Girl - Lina series		5-6, 7-8
Rippin, Sally; Masciullo, Lucia (ill.)	Our Australian Girl - Lina series		5-6, 7-8
Risson, Toni	Batty Business	978-0-7022-3668-6	5-6
Roach, Archie; Hunter, Ruby (ill.)	Took the Children Away	9780980564341	5-6
Roberton, Fiona	Porkchop and Mouse	978-0-14-350190-9	EC-2
Roberts, Katherine	Seven Fabulous Wonders series		5-6
Roberts, Marion	Mostly Sunny with a Chance of Storms	978-1-74175-859-7	5-6
Roberts, Marion	Sunny Side Up	978-1-74175-236-6	5-6
Roberts, Renee; Maris, Sarah; Stewart, Tammie; Leffler, David (ill.)	Locked Out	978-0-9750641-0-8	3-4
Roberts, Tansy Rayner	Seacastle	978-0-7333-2026-2	3-4
Robertson, M. P.	Hieronymus Betts and His Unusual Pets	978-1-84507-577-4	EC-2
Robertson, M. P.	The Egg	978-1-84507-799-0	EC-2
Robertson, M. P.	The Great Dragon Rescue	978-1-84507-379-4	EC-2
Robertson, M. P.	The Sandcastle	978-1-84507-800-3	EC-2
Robins, Phil	Alexander the Great and his Claim to Fame	978-0-439-96349-7	7-8
Robins, Phil	Joan of Arc and her Marching Orders	978-0-439-98110-1	7-8
Robinson, Joan G	When Marnie Was There	9780007591350	7-8
Robinson, Sue	Double Take	978-0-7344-0485-5	7-8
Robinson, Sue	Whale Rising	978-0-7344-0790-0	5-6, 7-8
Robshaw, Brandon	The Big Wish	9781908435897	3-4
Rockwell, Thomas	How to Eat Fried Worms	978-0-440-44545-6	5-6
Rodda, Emily	Deltora Quest series		5-6
Rodda, Emily	Deltora Quest series		5-6, 7-8
Rodda, Emily	Dog Tales	978-1-86291-481-0	3-4
Rodda, Emily	Fairy Realm series		3-4
Rodda, Emily	Finders Keepers	978-1-86291-360-8	5-6
Rodda, Emily	Pete and the Ruler of the Universe	9781862919778	3-4
Rodda, Emily	Pigs Might Fly	978-0-207-18726-1	3-4
Rodda, Emily	Raven Hill Mysteries series		5-6, 7-8
Rodda, Emily	Rondo series		5-6
Rodda, Emily	Rowan of Rin series		5-6
Rodda, Emily	Solos series		EC-2, 3-4
Rodda, Emily	Squeak Street series		EC-2
Rodda, Emily	Star of Deltora series		5-6, 7-8
Rodda, Emily	The Best-Kept Secret	978-0-8050-0936-1	3-4
Rodda, Emily	The Three Doors series		5-6, 7-8
Rodda, Emily	The Timekeeper	978-1-86291-167-3	3-4
Rodda, Emily; McLean, Andrew (ill.)	Where Do You Hide Two Elephants?	978-1-86291-370-7	EC-2
Rodda, Emily; Smith, Craig (ill.)	Bob the Builder and the Elves	978-0-7333-0693-8	3-4
Rodda, Emily; Smith, Craig (ill.)	Bungawitta	978-1-86291-833-7	3-4, 5-6
Rodda, Emily; Smith, Craig (ill.)	Green Fingers	978-1-86291-365-3	EC-2, 3-4
Rodgers, Mary	Freaky Friday	978-0-14-131797-7	5-6
Rodriguez, Beatrice	The Fishing Trip	9781877579240	EC-2
Roe, Katrina; Hedstrom, Leigh (ill.)	Emily Eases Her Wheezes!	9781925139129	EC-2
Rogers, Gregory	Midsummer Knight	978-1-74114-523-6	5-6
Rogers, Gregory	Omar the Strongman	9781742834368	EC-2
Rogers, Gregory	The Boy The Bear the Baron The Bard and Other Dramatic Tales	9781760112394	7-8
Rogers, Gregory	The Boy, the Bear, the Baron, the Bard	978-1-86508-722-1	7-8
Rogers, Gregory	The Hero of Little Street	978-1-74114-524-3	5-6
Rose, Michael	Dear Fairy Godmother	9781406325577	EC-2
Rosen, Michael	Bananas in my Ears	9781406337556	3-4
Rosen, Michael	Centrally Heated Knickers	978-0-14-130671-1	5-6
Rosen, Michael	The Walker Book of Classic Poetry and Poets	978-0-7445-8264-2	5-6
Rosen, Michael; Graham, Bob (ill.)	Poems for the Very Young	978-0-7534-0022-7	EC-2
Rosen, Michael; Graham, Bob (ill.)	This is Our House	978-0-7636-2816-1	EC-2
Rosen, Michael; Lee, Chinlun (ill.)	Totally Wonderful Miss Plumberry	978-1-4063-0550-0	EC-2
Rosen, Michael; Nayler, Sarah	What's So Special About Dickens?	978-1-84063-203-5	5-6, 7-8
Rosen, Michael; Nayler, Sarah	What's So Special About Shakespeare?	978-1-84063-003-9	5-6, 7-8
Rosen, Michael; Oxenbury, Helen (ill.)	We're Going on a Bear Hunt	978-1-84428-787-1	EC-2
Rosen, Sybil	Speed of Light	978-0-689-82437-1	7-8
Rosoff, Meg	Just in Case	978-0-14-131806-6	9-10
Rosoff, Meg	What I Was	978-0-14-138392-7	9-10
Rosoff, Meg	How I Live Now	978-0-14-180607-5	9-10
Rosoff, Meg; Blackall, Sophie	Wild Boars Cook	978-0-141-32933-8	EC-2
Ross, Odette	Bud's Pirate Adventure	978-0-14-350163-3	EC-2
Ross, Odette	Bud's Space Adventure	978-0-14-350151-0	EC-2
Ross, Stewart	The Original Olympics	978-0-7502-2556-4	5-6
Ross, Stewart	Wolfgang Amadeus Mozart	978-0-7502-4321-6	5-6
Ross, Tony	Centipede's 100 Shoes	978-1-84270-284-0	EC-2
Ross, Tony	I Don't Want to … series		EC-2
Ross, Tony	I Want … series		EC-2
Rossell, Judith	Ruby and Leonard and the Great Big Surprise	978-1-921272-96-7	EC-2
Rossell, Judith	Withering-by-Sea: a Stella Montgomery Intrigue	9780733333002	5-6
Roth, Veronica	Divergent series		9-10
Rothwell, Jo; Rothwell, Bryce (ill.)	My ... Adventure series		3-4
Rothwell, Jo; Rothwell, Bryce (ill.)	One Yelpy Kelpie	9780975723098	EC-2
Rothwell, Jo; Rothwell, Bryce (ill.)	One Yelpy Kelpie's Melbourne Adventure	9780987391728	3-4
Rothwell, Jo; Rothwell, Bryce (ill.)	Penelope Plume	9780987391711	EC-2
Rothwell, Jo; Rothwell, Bryce (ill.)	The Big Hungry Tree	9780975723081	EC-2, 3-4, 5-6, 7-8, 9-10
Roughsey, Dick	The Giant Devil-Dingo	978-0-00-661221-6	3-4
Rowe, Jeannette	Dinosauritis Catch The Dinosaur Bug series		EC-2
Rowe, Jeannette	My Dad	978-0-7333-1424-7	EC-2
Rowe, Jeannette	My Grandad	978-0-7333-1425-4	EC-2
Rowe, Jeannette	My Grandma	978-0-7333-1461-2	EC-2
Rowe, Jeannette	My Mum	978-0-7333-1460-5	EC-2
Rowe, Jeannette	My New Baby	978-0-7333-1716-3	EC-2
Rowe, Jeannette	Whose Family?	978-0-7333-1864-1	EC-2
Rowell, Rainbow	Carry On	9781447266945	7-8
Rowell, Rainbow	Fangirl	B00BMKH5NW	7-8
Rowell, Rainbow	Eleanor Park	9781250012579	9-10
Rowling, J. K.	Harry Potter and the Chamber of Secrets	9780747574484	7-8
Rowling, J. K.	Harry Potter and the Cursed Child	9780751565355	9-10
Rowling, J. K.	Harry Potter and the Deathly Hallows	9780747591061	9-10
Rowling, J. K.	Harry Potter and the Goblet of Fire	9780747574507	9-10
Rowling, J. K.	Harry Potter and the Half Blood Prince	9780747581086	9-10
Rowling, J. K.	Harry Potter and the Order of the Phoenix	9780747561071	9-10
Rowling, J. K.	Harry Potter and the Philosopher's Stone	9780747558194	5-6, 7-8
Rowling, J. K.	Harry Potter and the Prisoner of Azkaban	9780747574491	7-8
Rowling, J.K.	The Tales of Beedle the Bard	978-0-7475-9987-6	5-6, 7-8
Roy, James	A Boat for Bridget	978-0-7022-3250-3	7-8
Roy, James	Almost Wednesday	978-0-7022-3272-5	7-8
Roy, James	Anonymity Jones	9781741664539	9-10
Roy, James	Billy Mack's War	978-0-7022-3479-8	5-6, 7-8
Roy, James	Captain Mack	978-0-7022-3107-0	5-6, 7-8
Roy, James	City	9780702248481	9-10
Roy, James	Full Moon Racing	978-0-7022-2974-9	9-10
Roy, James	Hunting Elephants	9781741663266	7-8, 9-10
Roy, James	Ichabod Hart and the Lighthouse Mystery	978-0-7022-3364-7	7-8
Roy, James	Miss Understood	9781864748607	5-6
Roy, James	Queasy Rider	978-1-921150-57-9	5-6
Roy, James	Rescue Mission	978-0-7022-3844-4	5-6, 7-8
Roy, James	The Legend of Big Red	978-0-7022-3528-3	3-4
Roy, James	Voyage to Verdada	978-0-7022-3718-8	5-6
Roy, James	Wrestlefest Fever	978-1-877073-05-2	3-4
Roy, James	Spitting Image	9781921977497	5-6
Roy, James	Stuff Happens: Lennie	9780143308188	5-6
Roy, James; Gifford, Lucinda (ill.)	Rules Are Rules	9781922244932	EC-2
Roy, James; Gifford, Lucinda (ill.)	Saves the Day	9781922244956	EC-2
Roy, James; Gifford, Lucinda (ill.)	The Newest Pet	9781922244949	EC-2
Roy, James; Gifford, Lucinda (ill.)	The Tiny Guitar	9781922244963	EC-2
Roy, James; Zihabamwe, Noel	One Thousand Hills	9781742990750	7-8
Roy, Ron; Roy, Garney (ill.)	A to Z Mysteries series		3-4
Royce, Ellie	Amy's Secret	978-0-7333-2202-0	7-8
Royce, Ellie	Passion for Fashion	9780733324864	7-8
Ruben, Meerman	The Surfing Scientist: 40 Science Mind Benders	9780733328138	7-8
Rubin, Sarah	Dreamer Ballerina	978-1-906427-61-0	5-6
Rubinstein, Gillian	At Ardilla	978-0-14-131267-5	7-8
Rubinstein, Gillian	Each Beach	978-1-876233-05-1	3-4
Rubinstein, Gillian	Foxspell	978-1-875657-72-8	7-8
Rubinstein, Gillian	Galax-Arena	978-0-14-131024-4	7-8
Rubinstein, Gillian	Jake and Pete	978-0-09-183007-6	3-4
Rubinstein, Gillian	Melanie and the Night Animal	978-0-7497-0833-7	3-4
Rubinstein, Gillian	Sharon Keep Your Hair On	978-0-09-283160-7	EC-2
Rubinstein, Gillian	Shinkei	978-1-86291-260-1	7-8
Rubinstein, Gillian	Skymaze	978-0-14-034140-9	7-8
Rubinstein, Gillian	Space Demons	978-1-86291-287-8	7-8
Rubinstein, Gillian	Space Demons: the Trilogy	978-1-86291-630-2	7-8
Rubinstein, Gillian	Squawk and Screech	978-1-86291-105-5	3-4
Rubinstein, Gillian	Terra Farma	978-0-670-88978-5	7-8
Rubinstein, Gillian	The Mermaid of Bondi Beach	978-0-7336-0960-2	7-8
Rubinstein, Gillian	The Whale's Child	978-0-7336-1445-3	7-8
Rubinstein, Gillian	Under the Cat's Eye	978-0-7336-0554-3	5-6
Rubinstein, Gillian; Denton, Terry (ill.)	Jake and Pete and the Catcrowbats	978-0-09-183764-8	3-4
Rubinstein, Gillian; Denton, Terry (ill.)	Mr Plunkett's Pool	978-0-09-183273-5	3-4
Rubinstein, Gillian; James, Ann (ill.)	Dog In, Cat Out	978-1-86291-127-7	EC-2
Rubinstein, Gillian; Mackintosh, David (ill.)	Prue Theroux the Cool Librarian	978-0-09-183886-7	3-4
Rubinstein, Gillian; Smith, Craig (ill.)	The Fairy's Wings	978-0-14-038955-5	3-4
Rundell, Katherine	Roof Toppers	9780571280599	9-10
Rushby, Allison	How to Save the Universe in 10 Easy Steps	9781743319000	5-6
Rushby, Pamela	Circles of Stone	978-0-207-19908-0	7-8
Rushby, Pamela	Princess Parsley	9781742991610	5-6
Rushby, Pamela	Sing a Rebel Song	9781742991344	7-8
Rushdie, Salman	Haroun and the Sea of Stories	978-0-14-036650-1	7-8
Russell Andrews	Aphrodite	978-0892967841	7-8
Russell, Dwayne; Gynell, Donna (ill.)	Jackson's Footy	978-0-9806274-8-0	EC-2
Russell, Dwayne; Gynell, Donna (ill.)	Jackson's Goal	9781921778001	EC-2
Russell, Elaine	The Shack that Dad Built	978-1-877003-48-6	3-4
Russell, Monique	Sam’s Fishing Adventure	978-1-86334-082-3	EC-2
Russell, Paula; Chapman, Gaye	My Sister Olive	9781921714511	EC-2
Russon, Penni	Josie and the Michael Street Kids	978-0-14-330344-2	5-6
Russon, Penni	Only Ever Always	9781741750447	9-10
Russon, Penni	The Indigo Girls	978-1-74175-292-2	7-8, 9-10
Ruth Benjamin	Very Lucky Ponies	978-0061228360	EC-2, 3-4
Ryan, Anne	Unforeseen Circumstances	978-0-7344-0797-9	EC-2
Ryan, Chris	Agent 21	9783570308356	9-10
Ryan, Chris	Battleground	978-0-385-61300-2	7-8
Ryan, Chris	Black Gold	978-0-09-948232-1	7-8
Ryan, Chris	Blood Money	978-0-09-948014-3	7-8
Ryan, Chris	Codebreaker	9781849410090	9-10
Ryan, Chris	Deadfall	9781409026686	9-10
Ryan, Chris	Desert Pursuit	978-0-00-943926-1	7-8
Ryan, Chris	Fault Line	978-0-09-948015-0	7-8
Ryan, Chris	Flash Flood	978-0-09-948863-7	7-8
Ryan, Chris	Haunted	978-0-09-946425-9	7-8
Ryan, Chris	Hostage	978-0-09-943927-1	7-8
Ryan, Chris	Outbreak	978-1-86230-280-8	7-8
Ryan, Chris	Rat Catcher	978-0-09-943925-7	7-8
Ryan, Chris	Red Centre	978-0-09-946424-2	7-8
Ryan, Chris	Reloaded	9781849410083	9-10
Ryan, Chris	Survival	978-0-09-943924-0	7-8
Ryan, Chris	The Wire: World Book Day	9781849410106	9-10
Ryan, Chris	Twister	9780385612975	7-8
Ryan, Chris	Under Cover	9781849410113	9-10
Ryan, Chris	Untouchable	978-0-09-948233-8	7-8
Ryan, Chris	Vortex	9781862302805	7-8
Ryan, Chris	Wildfire	978-1-86230-166-5	7-8
Ryan, Kate	Belvedere series		3-4
Sachar, Louis	Holes	978-0-7475-6366-2	7-8
Sachar, Louis	More Sideways Arithmetic from Wayside School	978-0-590-47762-8	7-8
Sachar, Louis	Sideways Arithmetic from the Wayside School	978-0-7475-6912-1	7-8
Sachar, Louis	Sideways Stories from the Wayside School	978-0-7475-7177-3	7-8
Sachar, Louis	Small Steps	978-0-7475-8030-0	7-8
Sachar, Louis	Someday Angeline	978-0-7475-8723-1	5-6
Sachar, Louis	The Cardturner: A Novel about a King, a Queen, and a Joker	9780385736626	9-10
Sachar, Louis	There's a Boy in the Girls' Bathroom	978-0-394-80572-6	7-8
Sachar, Louis	Wayside School Gets a Little Stranger	978-0-7475-6911-4	7-8
Sachar, Louis	Wayside School is Falling Down	978-0-7475-6285-6	7-8
Sachar, Louis	Fuzzy Mud	9780385684590	5-6, 7-8
Sadler, Kevin	Appreciating Poetry	9780333430149	7-8, 9-10
Sage, Angie	Septimus Heap series		7-8
Sage, Angie; Pickering, Jim (ill.)	Frognapped	978-0-7475-8348-6	5-6
Sage, Angie; Pickering, Jim (ill.)	My Haunted House	978-0-7475-8346-2	5-6
Sage, Angie; Pickering, Jim (ill.)	The Sword in the Grotto	978-0-74758-347-9	5-6
Sage, Angie; Pickering, Jim (ill.)	Vampire Brat	978-0-74758-349-3	5-6
Sage, Angie; Pickering, Jimmy (ill.)	Ghostsitters	978-0-06-144925-3	5-6
Said, Aimee	Finding Freia Lockheart	978-1-921529-15-3	7-8
Said, Aimee	Little Sister, Have you Heard the Latest?	9781921529214	9-10
Saliba, Sue	Alaska	9780143206118	9-10
Saliba, Sue	For the Forest of a Bird	9780143571780	7-8
Saliba, Sue	Watching Seagulls	978-0-7339-0039-6	7-8
Salinger, J. D.	The Catcher in the Rye	9780140237498	9-10
Sally Morgan; Ezekiel Kwaymullina; Craig Smith (ill.)	Flying High	9781742990705	EC-2
Sanders, Ben	I've an Uncle Ivan	9780500500361	3-4
Sanders, Jay; Knoblock, Julie (ill.)	Magnificant Mavis	978-1-74192-213-4	EC-2
Sanderson, Brandon	The Bands of Mourning	9780765378576	9-10
Sanderson, Brandon	The Lost Metal	9781473215276	9-10
Sanderson, Brandon	Shadows of Self	9780765378552	9-10
Sanderson, Brandon	The Alloy of Law	9780765330420	9-10
Sanderson, Brandon	The Final Empire	9780765311788	9-10
Sanderson, Brandon	The Hero of Ages	9780765316899	9-10
Sanderson, Brandon	The Well of Ascension	9780765316882	9-10
Sanna, Francesca	The Journey	9781909263994	3-4, 5-6
Santo, William C.	Gudjal Book of Animals	978-1-86334-019-9	EC-2
Santo, William C.	Gudjal Book of Birds	978-1-86334-017-5	EC-2
Santo, William C.	Kangaroo Hunting: A Story in Gudjal and English	978-1-86334-018-2	EC-2
Santo, William C.	My Country in Gudjal Language	978-1-86334-016-8	EC-2
Sarlos, Eliza	Amazing Babes: A Picture Book for Kids Adults	9781922070715	5-6
Saunders, Kate	Five Children on the Western Front	9780571310951	5-6
Saunders, Walter	Caught and Court	978-0-19-557246-9	5-6, 7-8
Savit, Gavriel	Anna and the Swallow Man	9781782300526	7-8, 9-10
Savvides, Irini	A Marathon of her Own: the Diary of Sophia Krikonis, Melbourne, 1956	978-1-86504-635-8	5-6, 7-8
Savvides, Irini	Against the Tide	978-0-73332-290-7	9-10
Savvides, Irini	Aliki Says	978-1-74166-206-1	9-10
Savvides, Irini	Sky Legs	978-0-7336-1495-8	7-8
Savvides, Irini	Willow Tree and Olive	978-0-7336-1306-7	9-10
Savvides, Irini; Swan, Owen (ill.)	Hide and Seek	978-1-86504-423-1	EC-2
Saxby, Claire	Snow Play	978-1-921288-33-3	3-4
Saxby, Claire; Allen, Cassandra (ill.)	There Was an Old Sailor	978-1-92115071-5	EC-2
Saxby, Claire; Berry, Max (ill.)	Meet the ANZACs	9780857981929	3-4, 5-6
Saxby, Claire; Booth, Christina (ill.)	The Carrum Sailing Club	9781921136849	EC-2
Saxby, Claire; Byrne, Graham (ill.)	Big Red Kangaroo	9781921720420	EC-2, 3-4
Saxby, Claire; Byrne, Graham (ill.)	Emu	9781922179708	3-4
Saxby, Claire; Jellett, Tom	Seadog	9781742756509	EC-2
Saxby, Claire; Lord, Jeremy (ill.)	Meet… Weary Dunlop	9780857985361	3-4, 5-6
Saxby, Claire; Newcomb, Lizzy (ill.)	My Name Is Lizzie Flynn - A Story Of The Rajah Quilt	9781922179913	5-6
Saxby, Claire; Rossell, Judith (ill)	A Nest for Kora	978-1-921136-03-0	EC-2
Saxby, Claire; Spudvilas, Anne (ill.)	Ebi's Boat	978-1-921136-95-5	EC-2
Saxby, Maurice	The Great Deeds of Heroic Women	978-0-85574-983-5	5-6
Saxby, Maurice	The Great Deeds of Superheroes	978-0-85574-985-9	5-6
Scandiffio, Laura	Escapes!	978-0-14-330133-2	7-8
Scarrow, Alex	City of Shadows	9780141337074	7-8
Scarrow, Alex	Day of the Predator	978-0-141-32693-1	7-8
Scarrow, Alex	Gates of Rome	9780141336497	7-8
Scarrow, Alex	The Doomsday Code	9780141333489	7-8
Scarrow, Alex	The Eternal War	9780141336336	7-8
Scarrow, Alex	The Infinity Cage	9780141337203	7-8
Scarrow, Alex	The Mayan Prophecy	9780141337197	7-8
Scarrow, Alex	The Pirate Kings	9780141337180	7-8
Scarrow, Alex	TimeRiders	9780141326924	7-8
Schaefer, Carole Lexa; Fellows, Stan(ill.)	The Copper Tin Cup	978-0-7445-5620-9	3-4
Schembri, Jim	I Was a Teenage Exam Cheat	978-0-7339-0486-8	7-8
Schembri, Jim	Lychee Conspiracy	978-0-7344-0352-0	7-8
Schlitz, Laura Amy	The Hired Girl	9780763678180	9-10
Schlitz, Laura Amy; Barrett, Angela (ill.)	The Night Fairy	978-0-7636-3674-6	3-4, 5-6
Schubert, Ingrid; Schubert, Dieter	There's a Hole in My Bucket	978-1-886910-28-7	EC-2
Schumann, John; Smith, Craig (ill.)	I Was Only Nineteen	9781743317235	3-4
Schwartz, Vivian; Stewart, Joel (ill.)	Shark and Lobster's Amazing Undersea Adventure	978-1-4063-0520-3	3-4
Scieszka, Jon	2095	978-0-14-240044-9	5-6, 7-8
Scieszka, Jon	Da Wild, Da Crazy, Da Vinci	978-0-14-240465-2	5-6, 7-8
Scieszka, Jon	Hey Kid, Want to Buy a Bridge?	978-0-14-240089-0	5-6, 7-8
Scieszka, Jon	It's All Greek to Me	978-0-14-131097-8	5-6, 7-8
Scieszka, Jon	Knights of the Kitchen Table	978-0-670-83622-2	5-6, 7-8
Scieszka, Jon	Lewis and Clark...and Jodie, Freddi and Samantha	978-0-06-111638-4	5-6, 7-8
Scieszka, Jon	Marco? Polo!	978-0-670-06104-4	5-6, 7-8
Scieszka, Jon	Me Oh Maya	978-0-14-240300-6	5-6, 7-8
Scieszka, Jon	Nightmare on Joe's Street	978-0-06-111639-1	5-6, 7-8
Scieszka, Jon	Oh Say, I Can't See	978-0-670-06025-2	5-6, 7-8
Scieszka, Jon	Sam Samurai	978-0-14-240088-3	5-6, 7-8
Scieszka, Jon	See You Later, Gladiator	978-0-14-240117-0	5-6, 7-8
Scieszka, Jon	Summer Reading is Killing Me!	978-0-670-88041-6	5-6, 7-8
Scieszka, Jon	The Good, the Bad, and the Goofy	978-0-14-240046-3	5-6, 7-8
Scieszka, Jon	The Not-so-Jolly Roger	978-0-14-240045-6	5-6, 7-8
Scieszka, Jon	The Seven Blunders of the World	978-0-06-111637-7	5-6, 7-8
Scieszka, Jon	The True Story of the Three Little Pigs	978-0-14-054056-7	3-4
Scieszka, Jon	Viking It and Liking It	978-0-14-240002-9	5-6, 7-8
Scieszka, Jon	You Can't, but Genghis Khan	978-0-06-111636-0	5-6, 7-8
Scieszka, Jon	Your Mother was a Neanderthal	978-0-14-240048-7	5-6, 7-8
Scieszka, Jon; Smith, Lane (ill.)	Baloney, Henry P.	978-0-670-89248-8	3-4
Scieszka, Jon; Smith, Lane (ill.)	The Stinky Cheese Man and Other Fairly Stupid Tales	978-0-670-03569-4	5-6
Scieszka, Jon; Smith, Lane (ill.)	Tut, Tut	978-0-14-036360-9	5-6, 7-8
Scott, Clare	The Great Shave	978-1-921150-60-9	7-8
Scott, Clare	Egghead	9781921150814	3-4
Scott, Craig	Mary Bryant: The Impossible Escape	978-1-921167-61-4	5-6
Scott, Kim	That Deadman Dance	9781743348932	9-10
Scott, Michael	The Secrets of the Immortal Nicholas Flamel series		7-8
Scott-Mitchell, Clare; Fitchett, Gordon (ill.)	Sleeping Beauty	978-0-09-184066-2	3-4
Scotton, Rob	Russell and the Lost Treasure	978-0-00-720625-4	EC-2
Scotton, Rob	Russell the Sheep	978-0-00-720622-3	EC-2
Scotton, Rob	Russell's Christmas Magic	978-0-00-720626-1	EC-2
Scotton, Rob	Splat the Cat series		EC-2
Searle, Rick	Follow Me	978-1-86504-276-3	3-4
Sebald, W.G.	The Rings of Saturn	9780099448921	9-10
Sebastian, Azmen	The Snake and the Boy	9781921248245	5-6
Sebold, Alice	The Lovely Bones	978-0-330-48538-8	9-10
Seden, Paul; Briggs, Karen (ill.)	Kick with My Left Foot	9781743313442	EC-2
Sedgwick, Marcus	My Swordhand Is Singing	978-1-84255-558-3	7-8
Sedgwick, Marcus	The Dark Horse	978-1-85881-884-9	7-8
Sedgwick, Marcus; Sedgewick, Julian	Dark Satanic Mills	9781406329889	7-8, 9-10
Segel, Jason; Miller, Kirsten	Nightmares!	9780552571920	5-6
Segura, Elaine	Fancy That	978-1-74008-153-5	3-4
Selkirk, Rosemary; Singleton, Cameron (ill.)	Are you Afraid of Monsters?	9780992343729	EC-2
Selznick, Brian	The Invention of Hugo Cabret	978-0-43981-378-5	5-6, 7-8, 9-10
Selznick, Brian	The Marvels	97801545448680	5-6, 7-8
Selznick, Brian	Wonderstruck	9780545027892	5-6, 7-8, 9-10
Sendak, Maurice	Where the Wild Things Are	978-0-370-32715-0	EC-2
Sepetys, Ruta	Between Shades of Gray	9780143205418	9-10
Serraillier, Ian	Enchanted Island	978-84-351-2100-2	7-8
Serraillier, Ian	The Silver Sword	978-0-09-943949-3	7-8
Seuss, Dr	My Oh My, a Butterfly	9780007433087	EC-2
Seuss, Dr	Fox in Socks	978-0-394-80038-7	EC-2
Seuss, Dr	Green Eggs and Ham	978-0-375-81088-6	EC-2
Seuss, Dr	Hop on Pop	978-0-394-89222-1	EC-2
Seuss, Dr	I Wish that I Had Duck Feet	978-0-394-80040-0	EC-2
Seuss, Dr	Oh Say Can You Say?	978-0-00-717522-2	EC-2
Seuss, Dr	Oh, the Places You'll Go!	978-0-00-715852-2	EC-2
Seuss, Dr	One Fish Two Fish Red Fish Blue Fish	978-0-00-717595-6	EC-2
Seuss, Dr	The 500 Hats of Bartholomew Cubbins	978-0-394-84484-8	3-4
Seuss, Dr	The Cat in the Hat	978-0-375-82470-8	EC-2
Seuss, Dr	The Cat in the Hat Comes Back	978-0-00-717592-5	EC-2
Seuss, Dr	The Foot Book	978-0-394-80937-3	EC-2
Seuss, Dr	The Lorax	978-0-00-717311-2	3-4
Seuss, Dr.	The Bippolo Seed And Other Lost Stories	9780007438457	EC-2
Seuss, Dr; McKie, Roy (ill.)	Ten Apples Up on Top	978-0-00-171323-9	EC-2
Seuss, Dr; McKie, Roy (ill.); Mathieu, Joe (ill)	The Eye Book	978-0-00-712024-6	EC-2
Sewell, Anna	Black Beauty	978-0-440-41645-6	7-8
Shadow, Jak; Sutherland, Jon; Chalk, Gary	The Emerald Pirate	978-1-84046-690-4	3-4
Shakespeare, William	Romeo and Juliet	978-0-14-101226-1	7-8
Shakespeare, William; Greenberg, Nicki (ill.)	Hamlet	9781741756425	9-10
Shan, Darren	Allies of the Night	978-0-00-200876-1	7-8, 9-10
Shan, Darren	Birth of A Killer	978-0316078634	7-8, 9-10
Shan, Darren	Blood Beast	978-0-00-723132-4	7-8
Shan, Darren	Brothers to the Death	978-0007315949	7-8, 9-10
Shan, Darren	Cirque du Freak series		7-8, 9-10
Shan, Darren	Dark Calling	978-0-00-726045-4	7-8
Shan, Darren	Death's Shadow	978-0-00-726039-3	7-8
Shan, Darren	Demon Apocalypse	978-0-00-723133-1	7-8
Shan, Darren	Demon Thief	978-0-00-719323-3	7-8
Shan, Darren	Hell's Heroes	9780007260355	7-8
Shan, Darren	Hunters of the Dusk	978-0-00-200875-4	7-8, 9-10
Shan, Darren	Killers of the Dawn	978-0-00-200877-8	7-8, 9-10
Shan, Darren	Lake of Souls	978-1-55468-006-1	7-8, 9-10
Shan, Darren	Lord Loss	978-0-00-719321-9	7-8
Shan, Darren	Lord of the Shadows	978-0-31601662-9	7-8, 9-10
Shan, Darren	Ocean of Blood	9780316078665	7-8, 9-10
Shan, Darren	Palace of the Damned	9780316078702	7-8, 9-10
Shan, Darren	Slawter	978-0-00-723138-6	7-8
Shan, Darren	Sons of Destiny	978-0-31601664-3	7-8, 9-10
Shan, Darren	The Saga of Larten Crepsley series		7-8, 9-10
Shan, Darren	The Vampire Prince	978-0-00-255718-4	7-8, 9-10
Shan, Darren	The Vampire's Assistant	978-0-00-675513-5	7-8, 9-10
Shan, Darren	Trials of Death	978-0-00-255416-9	7-8, 9-10
Shan, Darren	Tunnels of Blood	978-0-00-721419-8	7-8, 9-10
Shan, Darren	Vampire Mountain	978-0-00-102537-0	7-8, 9-10
Shan, Darren	What the Hell's Coming Next?	978-0-00-723137-9	7-8
Shan, Darren	Wolf Island	978-0-00-726042-3	7-8
Shan, Darren	Zom-B series		9-10
Shan, Darren; Pilkington, Lorraine	Bec	978-0-00-723139-3	7-8
Shanahan, Lisa	My Big Birkett	978-1-74114-587-8	7-8
Shanahan, Lisa; Acton, Sara (ill.)	Daisy and the Puppy	9781742830513	EC-2
Shanahan, Lisa; Harris, Wayne (ill.)	Postman's Dog	978-1-74114-252-5	EC-2
Shanahan, Lisa; Millard, Kerry (ill.)	Sweetie May	978-0-7333-0612-9	3-4
Shanahan, Lisa; Millard, Kerry (ill.)	Sweetie May Overboard	978-0-7333-0874-1	3-4
Shanahan, Lisa; Quay, Emma	Bear and Chook	9780733615764	EC-2
Shanahan, Lisa; Quay, Emma (ill.)	Bear and Chook by the Sea	978-0-7344-1111-2	EC-2
Shanahan, Lisa; Quay, Emma (ill.)	Daddy's Having a Horse	978-0-7336-1663-1	EC-2
Sharpe Shelberg, Rebecka; Cowcher, Robin	Reflection: Remembering Those Who Serve In War	9781922179050	3-4
Shea, Alan	The Amazing Mind of Alice Makin	978-1-904442-32-5	7-8
